Num,ID,Created_at,Fav,retweets,text,media1,media2,media3,media4,compund,neg,neu,pos
879,951583568412717056,2018-01-11 22:36:16,751,118,"Brad Stevens on Daniel Theis: ""He has been terrific. He has come in, played his role “ He never changes. That?s a real good quality.""",N/A,N/A,N/A,N/A,0.8126,0,0.7040000000000001,0.29600000000000004
880,951582475033239553,2018-01-11 22:31:56,790,168,"Brad Stevens and his guys didn't read too much into their 22-point, first-half deficit tonight. ""We?ve come back before,"" he said. ""There was no real panic.""",N/A,N/A,N/A,N/A,-0.5994,0.17,0.83,0
881,951580933920120832,2018-01-11 22:25:48,3491,1660,"The #Celtics erase a 22 point deficit to defeat the 76ers 114-103 in London. Jaylen Brown lead the way with 21pts, 4ast, &amp; 3stl. Irving: 20pts, 7ast, 6reb. Morris: 19pts. Tatum: 16pts. https://t.co/cSEFwCZKMo",http://pbs.twimg.com/media/DTSxS5BVwAA2ZqN.jpg,N/A,N/A,N/A,-0.6908,0.16,0.84,0
882,951579828544790530,2018-01-11 22:21:25,1578,808,"Jayson Tatum creates his own shot, and as usual, knocks it down. #NBAVote https://t.co/nBo4gZ4KDG",https://video.twimg.com/amplify_video/951579636726620161/vid/1280x720/9greWOZuWb1BII06.mp4,N/A,N/A,N/A,0.2732,0,0.861,0.139
883,951574036554842120,2018-01-11 21:58:24,624,154,Morris recovers and finds Rozier for 3? ! https://t.co/0HH2TTo2fH,https://video.twimg.com/amplify_video/951573753653178368/vid/1280x720/puL63g7rPUwwK36h.mp4,N/A,N/A,N/A,0,0,1,0
884,951572083892477953,2018-01-11 21:50:38,1296,328,"After trailing by as many as 22 points, the Celtics head into the final frame up 85-79 vs the 76ers. Jaylen Brown has a team-high 19pts (7-for-11 shooting).  Jayson Tatum has 12pts (10pts in Q3). Irving: 17pts, 7ast, 6reb.",N/A,N/A,N/A,N/A,0,0,1,0
885,951568577508904960,2018-01-11 21:36:42,2604,1386,? Jayson Tatum is lighting it up! ? #NBAVote https://t.co/Tc4GblJ9Sl,https://video.twimg.com/amplify_video/951568178672472064/vid/1280x720/rcDUpWeaGxbJ70_J.mp4,N/A,N/A,N/A,0,0,1,0
886,951566980154380288,2018-01-11 21:30:21,1803,1069,Kyrie Irving from DEEP! #NBAVote https://t.co/W0ZCxk7FzT,https://video.twimg.com/amplify_video/951566817180438528/vid/1280x720/M-wwz_li-9UbyDA2.mp4,N/A,N/A,N/A,0,0,1,0
887,951561523461312512,2018-01-11 21:08:41,555,129,"The #Celtics cut it to single digits and head into halftime down 57-48 to the 76ers. Jaylen Brown leads the C?s with 14pts on 5-for-7 shooting. Kyrie?s got 11pts to go along with 6reb and 4 ast. Morris: 7pts, 4reb. https://t.co/oDR2VkKPgd",http://pbs.twimg.com/media/DTSfgq3X4AEdbi4.jpg,N/A,N/A,N/A,-0.2732,0.051,0.9490000000000001,0
888,951559671105622017,2018-01-11 21:01:19,708,357,Kyrie Irving feeds Theis for the strong finish ? #NBAVote https://t.co/1IPOJ79V1k,https://video.twimg.com/amplify_video/951558984762306561/vid/1280x720/Z5BwIv5k6ryjp5Sn.mp4,N/A,N/A,N/A,0.5106,0,0.732,0.268
