Name,id,likes,date,retweets,posts,content_post_number
whomsdtve_,111936912699102,0,4/18/2019 20:55,3,"RT @EternalSushi: Hiya! Check out my vision of the Galar Region through this original final route theme! 😍

https://t.co/EVF8Rentcn

#pokem…",438
WeSellSwords,111932392668808,1,4/18/2019 20:54,2,"Come on out this Sunday from 2 to 5 pm and have some fun with Swords &amp; Shields! 

For more information and to sign… https://t.co/TuxLed7Qkm",439
funanorinikki,111898338628080,0,4/18/2019 15:25,1,"RT @FTLOPCast: In anticipation for #SwordandShield we're going back to an unappreciated Pokémon game, #PokemonColosseum!

https://t.co/bjxR…",440
GraphicNinja08,111898139388989,0,4/18/2019 11:18,0,"My Pokémon GO Professor prosona, Professor Dawgwood, may have to make a comeback this winter when #swordandshield c… https://t.co/97BfAf4X33",441
koirusuker,111898125951698,0,4/18/2019 1:58,12,RT @blue_pokeball: An old drawing I made ❤️ art by me @blue_pokeball #pokemon #pokemonart #art #charizard #venusaur #blastoise #gen1 #kanto…,442
probably_art,111889834310995,1,4/18/2019 1:09,1,"#Pokemon #PokemonArt
#Scorbunny
#SwordAndShield https://t.co/K5aHy07Npr",443
Manu40793902,111883612288762,0,4/17/2019 23:53,4,"RT @MarineLolotte: Ma version des nouveaux Starters de #pokemon épée et bouclier 😁

 #pokemonart #pokemonswitch #switch #pokemonss  #pokemo…",444
Manu40793902,111869519998563,0,4/17/2019 23:50,12,RT @blue_pokeball: An old drawing I made ❤️ art by me @blue_pokeball #pokemon #pokemonart #art #charizard #venusaur #blastoise #gen1 #kanto…,445
Lilydoodlez,111868285270568,3,4/17/2019 21:05,0,"Powokemon

#art #furry #furryart #myart #pokemon #swordandshield #fanart https://t.co/ThDUfCroIU",446
FTLOPCast,111866385194227,3,4/17/2019 17:58,1,"In anticipation for #SwordandShield we're going back to an unappreciated Pokémon game, #PokemonColosseum!

https://t.co/bjxR7hiqi4",447
tailsnick,111866298822602,0,4/17/2019 16:55,12,RT @blue_pokeball: An old drawing I made ❤️ art by me @blue_pokeball #pokemon #pokemonart #art #charizard #venusaur #blastoise #gen1 #kanto…,448
Espyfluff,111862156584181,0,4/17/2019 15:27,12,RT @blue_pokeball: An old drawing I made ❤️ art by me @blue_pokeball #pokemon #pokemonart #art #charizard #venusaur #blastoise #gen1 #kanto…,449
blue_pokeball,111857441101413,39,4/17/2019 15:25,12,An old drawing I made ❤️ art by me @blue_pokeball #pokemon #pokemonart #art #charizard #venusaur #blastoise #gen1… https://t.co/x6Kd6ozNG3,450
MarineLolotte,111855863137557,6,4/17/2019 13:04,4,"Ma version des nouveaux Starters de #pokemon épée et bouclier 😁

 #pokemonart #pokemonswitch #switch #pokemonss… https://t.co/jYQH4QUAc9",451
MistressDarken,111853652611424,0,4/17/2019 6:55,3,"RT @WeSellSwords: Learn how to fight like the Crusaders in our Intro to Crusader Sword and Shield Class this Sunday, April 21 from 2 - 5 pm…",452
cultureyyc,111853593974202,0,4/17/2019 2:16,3,"RT @WeSellSwords: Learn how to fight like the Crusaders in our Intro to Crusader Sword and Shield Class this Sunday, April 21 from 2 - 5 pm…",453
CJBerry64,111850057568614,0,4/17/2019 2:11,3,"RT @WeSellSwords: Learn how to fight like the Crusaders in our Intro to Crusader Sword and Shield Class this Sunday, April 21 from 2 - 5 pm…",454
WeSellSwords,111840754708872,2,4/17/2019 2:10,3,"Learn how to fight like the Crusaders in our Intro to Crusader Sword and Shield Class this Sunday, April 21 from 2… https://t.co/cu0nnFEwac",455
GAMECorby,111833735991171,0,4/16/2019 13:50,2,"RT @GAMESwansea: Who's ready to visit the Galar region in #Pokemon Sword and Shield?
Which starter will you choose? 
Make sure you secure a…",456
GAMESwansea,111833616176676,2,4/16/2019 13:30,2,"Who's ready to visit the Galar region in #Pokemon Sword and Shield?
Which starter will you choose? 
Make sure you s… https://t.co/YEiZDWweLa",457
sectest9,111833595565027,0,4/16/2019 13:14,1,RT @SwordShieldSec: Weaponization of your company’s private data is a significant threat. Learn how data breaches work and what you can do…,458
SwordShieldSec,111814973863176,0,4/16/2019 13:13,1,Weaponization of your company’s private data is a significant threat. Learn how data breaches work and what you can… https://t.co/w7tJkHVKsi,459
InTheLabGames,111814459568519,1,4/25/2019 13:12,0,Come hang out while I hunt for #Shiny Poliwag in #PokemonLetsGo on #Twitch https://t.co/Cxqsfd916d,460
SPsiquico,111814059372359,0,4/25/2019 13:07,0,"⚠️NUEVO VÍDEO⚠️

Hoy lucharemos contra Aura, capturaremos a un pedazo de Pokémon y nos adentraremos en el gimnasio… https://t.co/w0m8SpLIJP",461
IloSomnia,111814025833870,0,4/25/2019 13:06,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",462
MajorGER,112140158174701,0,4/25/2019 12:59,0,"Looking for new friends for Pokemongo. 

4128 9890 0514

#PokemonGO #PokemonGOFest2019 #PokemonGOSafariZone… https://t.co/NVzlJjOP3f",463
fear_the_fairy,112140030464851,1,4/25/2019 12:58,0,Does anyone know how to catch the Pokémon that fly above your head in #PokemonLetsGo?,464
ordis89,112139997058065,0,4/25/2019 12:58,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",465
BotPrais,112139834146264,0,4/25/2019 12:57,1,RT @MMarionic: #PokemonLetsGo #NintendoSwitch uhm......help? ......probably? https://t.co/6SvYnStcL0,466
MMarionic,112139816353605,0,4/25/2019 12:55,1,#PokemonLetsGo #NintendoSwitch uhm......help? ......probably? https://t.co/6SvYnStcL0,467
doncry_xxx,112139814399054,0,4/25/2019 12:49,0,"Let's be friends in Pokémon GO! My Trainer Code is 9010 5796 6248!
#pokemongocommunityday #pokemonxy #pokemony… https://t.co/HWXk5aiFOW",468
IamTrueLegendTv,112139771534107,0,4/25/2019 12:39,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",469
vikingduckie,112139727766107,0,4/25/2019 12:29,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",470
BotPrais,112139592840802,0,4/25/2019 12:21,1,RT @IlyasMaslouh: Its my team good? #PokemonLetsGo #NintendoSwitch https://t.co/tRjjgwZFoF,471
IlyasMaslouh,112139323883590,0,4/25/2019 12:18,1,Its my team good? #PokemonLetsGo #NintendoSwitch https://t.co/tRjjgwZFoF,472
rudipitt,112139088897289,0,4/25/2019 12:14,40,"RT @DeadarticGames: Pokémon: Let’s Go! - Play with Pokémon GO &amp; Poké Ball Plus - Nintendo Switch
https://t.co/yiDI2Kav0M #PokemonLetsGo #Po…",473
sjfostersound,112138865673500,0,4/25/2019 12:12,2,RT @sjfostersound: Still play Pokémon Go or Pokémon Let’s Go? #gamedev #PokemonLetsGo #PokemonGo https://t.co/lw0ZOcN3tA,474
RorschachTv,112138796338280,0,4/25/2019 12:10,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",475
DreadCaptJames,112138704674296,0,4/25/2019 12:06,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",476
BotPrais,112138649643350,0,4/25/2019 12:03,1,RT @StaticVids: #PokemonLetsGo #NintendoSwitch https://t.co/6eODkPAsXz,477
panazuli,112138611327544,0,4/25/2019 12:03,5077,"RT @RankedBoost: #Giveaway
🎁: Nintendo Switch + Super Smash Bros. Ultimate + Pokemon Let's Go
💞: Retweet, Like &amp; Follow @RankedBoost
👉: Cli…",478
AcevesManuel,112138496540350,0,4/25/2019 12:02,239,"RT @NintendoAmerica: #PokemonLetsGo Trainers, have you had your chance to catch Meltan or Melmetal in @PokemonGoApp? The Mystery Box waitin…",479
StaticVids,112138414589521,1,4/25/2019 12:02,1,#PokemonLetsGo #NintendoSwitch https://t.co/6eODkPAsXz,480
Spin_Move_Owl,112138414152056,0,4/25/2019 12:01,2,RT @fear_the_fairy: I DID IT &lt;3 #PokemonLetsGo #NintendoSwitch https://t.co/35y6wnChUM,481
BotPrais,112138393795402,0,4/25/2019 12:00,2,RT @fear_the_fairy: I DID IT &lt;3 #PokemonLetsGo #NintendoSwitch https://t.co/35y6wnChUM,482
fear_the_fairy,112138393545841,3,4/25/2019 11:59,2,I DID IT &lt;3 #PokemonLetsGo #NintendoSwitch https://t.co/35y6wnChUM,483
BotPrais,112138375179841,0,4/25/2019 11:57,1,RT @trinketsnail: IT FINALLY HAPPENED!! SHINY CLEFAIRY!! #PokemonLetsGo #NintendoSwitch https://t.co/Kp8I0DctR8,484
trinketsnail,112138337203779,6,4/25/2019 11:54,1,IT FINALLY HAPPENED!! SHINY CLEFAIRY!! #PokemonLetsGo #NintendoSwitch https://t.co/Kp8I0DctR8,485
_Seagod77,112138313855326,0,4/25/2019 11:34,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",486
tsuramisan,112138263715368,2,4/25/2019 11:33,0,900時間やっててここが通行可能なことに初めて気づいた(っ´ ＞△＜ｃ) #ピカブイ #PokemonLetsGo #ポケモン #Pokemon #NintendoSwitch https://t.co/aqRaRHzlED,487
BotPrais,112138202089286,0,4/25/2019 11:30,1,RT @vlrns: #PokemonLetsGo #NintendoSwitch https://t.co/XLaQmVdksB,488
vlrns,112137703684773,2,4/25/2019 11:28,1,#PokemonLetsGo #NintendoSwitch https://t.co/XLaQmVdksB,489
IndieGameSharer,112137667191798,0,4/25/2019 11:22,2,RT @sjfostersound: Still play Pokémon Go or Pokémon Let’s Go? #gamedev #PokemonLetsGo #PokemonGo https://t.co/lw0ZOcN3tA,490
MandL27,112137582004658,0,4/25/2019 11:20,177,RT @BulbaBill: Bulba paradise @BulbaGanda #Pokemon Bulbasaur #PokemonLetsGo #NintendoSwitch https://t.co/8L9J707wjF,491
ArmsShowcase,112137543485419,0,4/25/2019 11:20,3,"RT @chippeecart: https://t.co/DhmaLtJtCi

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda #MarioParty #Poke…",492
ArmsShowcase,112137388226141,0,4/25/2019 11:20,1,"RT @chippeecart: https://t.co/DhmaLtJtCi

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda #MarioParty #Poke…",493
ArmsShowcase,112137345577200,0,4/25/2019 11:20,1,"RT @chippeecart: https://t.co/DhmaLtJtCi

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda #MarioParty #Poke…",494
ArmsShowcase,112137340333056,0,4/25/2019 11:20,2,"RT @chippeecart: https://t.co/DhmaLu14tQ

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda #MarioParty #Poke…",495
sjfostersound,112137336922243,0,4/25/2019 11:18,2,Still play Pokémon Go or Pokémon Let’s Go? #gamedev #PokemonLetsGo #PokemonGo https://t.co/lw0ZOcN3tA,496
BotPrais,112137333503885,0,4/25/2019 11:12,3,"RT @chippeecart: https://t.co/DhmaLtJtCi

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda #MarioParty #Poke…",497
NSwitchGame,112137331752348,0,4/25/2019 11:11,3,"RT @chippeecart: https://t.co/DhmaLtJtCi

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda #MarioParty #Poke…",498
diabeteslen,112137280254271,0,4/25/2019 11:07,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",499
splycehaven,112137129000120,0,4/25/2019 11:05,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",500
trans307,112137102856178,0,4/25/2019 10:58,239,"RT @NintendoAmerica: #PokemonLetsGo Trainers, have you had your chance to catch Meltan or Melmetal in @PokemonGoApp? The Mystery Box waitin…",501
BotPrais,112137023333432,0,4/25/2019 10:57,1,RT @tsuramisan: 一発でアフロとかお前ミルフィーちゃんやな…… #ピカブイ #PokemonLetsGo #ポケモン #Pokemon #NintendoSwitch https://t.co/WqQ18kfyFM,502
tsuramisan,112136964559488,0,4/25/2019 10:55,1,一発でアフロとかお前ミルフィーちゃんやな…… #ピカブイ #PokemonLetsGo #ポケモン #Pokemon #NintendoSwitch https://t.co/WqQ18kfyFM,503
jimg1976,112136792324156,0,4/25/2019 10:54,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",504
Crossing_Grave,112136752072687,0,4/25/2019 10:54,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",505
cannondadgamer,112136722486059,0,4/25/2019 10:54,0,Just started playing Pokémon go after a year and a half I'm so behind . Add me help me help you. 1094 3168 1620… https://t.co/acoIamZIcY,506
chippeecart,112136694687069,0,4/25/2019 10:53,2,"RT @chippeecart: https://t.co/DhmaLu14tQ

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda #MarioParty #Poke…",507
chippeecart,112136687969053,0,4/25/2019 10:53,3,"https://t.co/DhmaLtJtCi

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda… https://t.co/wSPfPn0i56",508
CasualcarlTV,112136676475401,0,4/25/2019 10:50,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",509
simpika26,112136659398292,0,4/25/2019 10:46,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",510
switch_rts,112136656947974,0,4/25/2019 10:45,1,RT @Switchonmy: #PokemonLetsGo #NintendoSwitch https://t.co/3XwHeFs9oM,511
Switchonmy,112136578975444,1,4/25/2019 10:44,1,#PokemonLetsGo #NintendoSwitch https://t.co/3XwHeFs9oM,512
BottomFraag,112136489796572,0,4/25/2019 10:44,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",513
chippeecart,112136452395549,0,4/25/2019 10:42,1,"https://t.co/DhmaLtJtCi

Nintendo Switch games 50% off! Free shipping!! #NintendoSwitch #nintendo #zelda… https://t.co/sJe9b3ezOE",514
SlobF4ce,112136445183003,0,4/25/2019 10:42,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",515
BotPrais,112136431213057,0,4/25/2019 10:42,1,"RT @tsuramisan: ポケットモンスター Let’s Go! イーブイ（？／？／？／？／？／？） #ピカブイ #PokemonLetsGo #ポケモン #Pokemon #NintendoSwitch  #生放送 https://t.co/ZV3LNDMJou

13…",516
jancym1964,112136396589490,0,4/25/2019 10:41,1,RT @Sacagawayway666: Here’s another #Pokémon I’ve had on my to-sew list for a very long time: Shiny Jynx! She’s one of my OG favorite Pokém…,517
tsuramisan,112136381675808,4,4/25/2019 10:41,1,ポケットモンスター Let’s Go! イーブイ（？／？／？／？／？／？） #ピカブイ #PokemonLetsGo #ポケモン #Pokemon #NintendoSwitch  #生放送… https://t.co/2rghG2I2K7,518
LichTwitch,112136374092496,0,4/25/2019 10:39,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",519
BotPrais,112136366992391,0,4/25/2019 10:39,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",520
Azz2K_,112136364201062,0,4/25/2019 10:38,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",521
iamreveller,112136302771304,0,4/25/2019 10:38,26,"RT @bladeboundgamer: Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨

https://t.co/xz…",522
Sacagawayway666,112136301909787,1,4/25/2019 10:35,1,Here’s another #Pokémon I’ve had on my to-sew list for a very long time: Shiny Jynx! She’s one of my OG favorite Po… https://t.co/v5lVnXFoMj,523
Ajsbsjsbsjwb,112136292721741,0,4/25/2019 10:35,5077,"RT @RankedBoost: #Giveaway
🎁: Nintendo Switch + Super Smash Bros. Ultimate + Pokemon Let's Go
💞: Retweet, Like &amp; Follow @RankedBoost
👉: Cli…",524
bladeboundgamer,112136273549168,26,4/25/2019 10:35,26,"Live 🔴

Join me and thiccachu! ⚡

I'm Streaming a blind playthrough of #PokemonLetsGo Pikachu today ✨… https://t.co/0TNv2UH35x",525
PatronLP,112136207287973,0,4/25/2019 10:30,5,"RT @alpha_reel: Check out my latest #PokemonLetsGo video
https://t.co/5bEmdOyXix

Join in the fun!!

#AlphaPack
#youtube 
#Twitch 
#Streame…",526
Violet_Mintea,112136206517881,0,4/25/2019 10:22,177,RT @BulbaBill: Bulba paradise @BulbaGanda #Pokemon Bulbasaur #PokemonLetsGo #NintendoSwitch https://t.co/8L9J707wjF,527
