old_movie_id,movie_title,director_name,main_actor,genre_id
167,Olympus Has Fallen ,Antoine Fuqua,Gerard Butler,2
168,Legend of the Guardians: The Owls of Ga'Hoole ,Zack Snyder,Abbie Cornish,2
169,Dear Wendy ,Thomas Vinterberg,Michael Angarano,1
170,My Super Ex-Girlfriend ,Ivan Reitman,Rainn Wilson,7
171,Little Black Book ,Nick Hurran,Holly Hunter,1
172,Nacho Libre ,Jared Hess,Ana de la Reguera,13
173,Rock of Ages ,Adam Shankman,James Martin Kelly,6
174,She Done Him Wrong ,Lowell Sherman,Mae West,9
175,Buried ,Rodrigo Cortés,Ryan Reynolds,8
176,The Edge ,Lee Tamahori,Anthony Hopkins,2
177,Superman Returns ,Bryan Singer,Kevin Spacey,7
178,Space Cowboys ,Clint Eastwood,Clint Eastwood,3
179,The Torture Chamber of Dr. Sadism ,Harald Reinl,Christopher Lee,12
180,Inside Job ,Charles Ferguson,Matt Damon,10
181,Winter in Wartime ,Martin Koolhoven,Yorick van Wageningen,1
182,The Informers ,Gregor Jordan,Austin Nichols,8
183,Sicario ,Denis Villeneuve,Edgar Arreola,8
184,Oculus ,Mike Flanagan,James Lafferty,5
185,500 Days of Summer ,Marc Webb,Joseph Gordon-Levitt,6
186,Dr. No ,Terence Young,Ursula Andress,2
187,Trash ,Stephen Daldry,Wagner Moura,1
188,Final Destination 5 ,Steven Quale,Emma Bell,12
189,Eat Pray Love ,Ryan Murphy,James Franco,4
190,2001: A Space Odyssey ,Stanley Kubrick,Keir Dullea,3
191,Without Limits ,Robert Towne,Billy Burke,1
192,Duma ,Carroll Ballard,Eamonn Walker,3
193,The Prince of Tides ,Barbra Streisand,George Carlin,1
194,Griff the Invisible ,Leon Ford,Maeve Dermody,1
195,Alive ,Frank Marshall,Illeana Douglas,14
196,Sleep Tight ,Jaume Balagueró,Luis Tosar,1
197,Oblivion ,Joseph Kosinski,Morgan Freeman,5
198,Thank You for Smoking ,Jason Reitman,J.K. Simmons,1
199,White Chicks ,Keenen Ivory Wayans,Busy Philipps,6
200,Amen. ,Costa-Gavras,Sebastian Koch,10
201,Space Chimps ,Kirk De Micco,Cheryl Hines,17
202,Hannah Montana: The Movie ,Peter Chelsom,Emily Osment,13
203,The King's Speech ,Tom Hooper,Colin Firth,1
204,Gun Shy ,Eric Blakeney,Liam Neeson,4
205,Fast Five ,Justin Lin,Paul Walker,10
206,Days of Heaven ,Terrence Malick,Sam Shepard,4
207,Arthur and the Invisibles ,Luc Besson,Mia Farrow,11
208,My Name Is Bruce ,Bruce Campbell,Ted Raimi,11
209,Trust the Man ,Bart Freundlich,Billy Crudup,6
210,Zero Effect ,Jake Kasdan,Kim Dickens,6
211,Man on a Ledge ,Asger Leth,Robert Clohessy,2
212,The Brain That Sings ,Amal Al-Agroobi,,18
213,3 Men and a Baby ,Leonard Nimoy,Tom Selleck,1
214,Winter's Tale ,Akiva Goldsman,Matt Bomer,1
215,Kangaroo Jack ,David McNally,Estella Warren,2
216,Little Shop of Horrors ,Frank Oz,Bill Murray,9
217,The Legend of Suriyothai ,Chatrichalerm Yukol,Sarunyu Wongkrachang,1
218,Return to the Blue Lagoon ,William A. Graham,Milla Jovovich,3
219,The Rock ,Michael Bay,Nicolas Cage,8
220,Red Dragon ,Brett Ratner,Philip Seymour Hoffman,1
221,Fantastic Four ,Josh Trank,Tim Blake Nelson,3
222,House of Sand ,Andrucha Waddington,Fernanda Montenegro,1
223,Train ,Gideon Raff,Gideon Emery,8
224,Iron Man ,Jon Favreau,Robert Downey Jr.,2
225,Hoodwinked Too! Hood vs. Evil ,Mike Disa,Amy Poehler,13
226,The Road ,John Hillcoat,Viggo Mortensen,3
227,8 Mile ,Curtis Hanson,Mekhi Phifer,1
228,Get on the Bus ,Spike Lee,Bernie Mac,1
229,[Rec] ,Jaume Balagueró,Manuela Velasco,12
230,Harper ,Jack Smight,Janet Leigh,5
231,Duel in the Sun ,King Vidor,Joseph Cotten,16
232,Chain Letter ,Deon Taylor,Matt Cohen,8
233,Mary Poppins ,Robert Stevenson,Ed Wynn,6
234,The Interpreter ,Sydney Pollack,Curtiss Cook,5
235,Rang De Basanti ,Rakeysh Omprakash Mehra,Anupam Kher,15
236,Transporter 2 ,Louis Leterrier,Jason Statham,2
237,A Walk Among the Tombstones ,Scott Frank,Liam Neeson,10
239,Arthur             ,,Bruce Dinsmore,6
240,Paranormal Activity 2 ,Tod Williams,Sprague Grayden,12
241,The Martian ,Ridley Scott,Matt Damon,7
242,White Squall ,Ridley Scott,Jeff Bridges,3
243,Random Hearts ,Sydney Pollack,Harrison Ford,1
245,Home for the Holidays ,Jodie Foster,Robert Downey Jr.,4
246,Enemy at the Gates ,Jean-Jacques Annaud,Bob Hoskins,1
247,Winnie the Pooh ,Stephen J. Anderson,Craig Ferguson,9
248,Woo ,Daisy von Scherler Mayer,LL Cool J,6
249,Spaced Invaders ,Patrick Read Johnson,Ariana Richards,6
250,In the Name of the King: A Dungeon Siege Tale ,Uwe Boll,Jason Statham,3
251,The Return of the Pink Panther ,Blake Edwards,Burt Kwouk,10
252,Another Happy Day ,Sam Levinson,George Kennedy,1
253,Annie ,Will Gluck,Quvenzhané Wallis,9
254,Silver Medallist ,Hao Ning,Jack Kao,2
255,Heartbeeps ,Allan Arkush,Bernadette Peters,7
256,Fat Albert ,Joel Zwick,Dania Ramirez,6
257,Gulliver's Travels ,Rob Letterman,James Corden,3
258,The Words ,Brian Klugman,J.K. Simmons,5
259,Beverly Hills Chihuahua ,Raja Gosnell,Jamie Lee Curtis,13
260,Death Sentence ,James Wan,Aisha Tyler,8
261,I Spy ,Betty Thomas,Gary Cole,6
262,Breakin' All the Rules ,Daniel Taplitz,Jennifer Esposito,4
263,The Prophecy ,Gregory Widen,Viggo Mortensen,11
264,The Santa Clause 2 ,Michael Lembeck,Judge Reinhold,11
265,The Last King of Scotland ,Kevin Macdonald,David Oyelowo,15
266,The Black Dahlia ,Brian De Palma,Scarlett Johansson,10
267,The Black Stallion ,Carroll Ballard,Teri Garr,13
268,Florence Foster Jenkins ,Stephen Frears,Meryl Streep,14
269,The Ridges ,Brandon Landers,Robbie Barnes,8
270,The O.C.             ,,Peter Gallagher,1
271,The Client ,Joel Schumacher,Bradley Whitford,10
272,Criminal ,Ariel Vromen,Gary Oldman,2
273,Rules of Engagement             ,,Bianca Kajlich,4
274,Benji ,Joe Camp,Frances Bavier,13
275,The Second Mother ,Anna Muylaert,Alex Huszar,6
276,Cypher ,Vincenzo Natali,David Hewlett,4
277,Lolita ,Stanley Kubrick,James Mason,1
278,Jersey Boys ,Clint Eastwood,Johnny Cannizzaro,9
279,The Day the Earth Stood Still ,Scott Derrickson,Keanu Reeves,1
280,Blindness ,Fernando Meirelles,Don McKellar,1
281,Luminarias ,José Luis Valenzuela,Cheech Marin,6
283,Madea's Family Reunion ,Tyler Perry,Boris Kodjoe,4
284,The Prince of Egypt ,Brenda Chapman,Martin Short,14
285,My Girl ,Howard Zieff,Macaulay Culkin,6
286,Warlock ,Steve Miner,Julian Sands,2
287,The Joneses ,Derrick Borte,Demi Moore,6
288,Safety Not Guaranteed ,Colin Trevorrow,Mary Lynn Rajskub,6
289,Blackhat ,Michael Mann,Chris Hemsworth,2
290,The Beach ,Danny Boyle,Leonardo DiCaprio,3
291,Little Nicholas ,Laurent Tirard,Louise Bourgoin,6
292,The Island ,Michael Bay,Scarlett Johansson,3
293,The Work and the Glory II: American Zion ,Sterling Van Wagenen,Emily Podleski,1
294,V for Vendetta ,James McTeigue,Natalie Portman,8
295,The Velocity of Gary ,Dan Ireland,Salma Hayek,4
296,The Italian Job ,F. Gary Gray,Jason Statham,2
297,Infamous ,Douglas McGrath,Toby Jones,10
298,Tristram Shandy: A Cock and Bull Story ,Michael Winterbottom,Steve Coogan,6
299,Dodgeball: A True Underdog Story ,Rawson Marshall Thurber,Gary Cole,6
300,Stone ,John Curran,Robert De Niro,8
301,Guardians of the Galaxy ,James Gunn,Bradley Cooper,3
302,Womb ,Benedek Fliegauf,Eva Green,4
303,"Hail, Caesar! ",Ethan Coen,Scarlett Johansson,5
304,Imagine Me & You ,Ol Parker,Celia Imrie,4
305,You Can't Take It with You ,Frank Capra,Jean Arthur,6
306,Yeh Jawaani Hai Deewani ,Ayan Mukerji,Ranbir Kapoor,4
307,"The Good, the Bad, the Weird ",Jee-woon Kim,Kang-ho Song,16
308,Robots ,Chris Wedge,Jim Broadbent,6
309,Lady in the Water ,M. Night Shyamalan,Bryce Dallas Howard,11
310,Don't Say a Word ,Gary Fleder,Oliver Platt,8
311,Escape from New York ,John Carpenter,Donald Pleasence,2
312,"Mystery, Alaska ",Jay Roach,Scott Grimes,1
313,March or Die ,Dick Richards,Catherine Deneuve,4
314,Homefront ,Gary Fleder,Jason Statham,10
315,Isn't She Great ,Andrew Bergman,Stockard Channing,14
316,Lonesome Jim ,Steve Buscemi,Kevin Corrigan,1
317,The Horse Boy ,Michel Orion Scott,Temple Grandin,18
318,Neighbors 2: Sorority Rising ,Nicholas Stoller,Chloë Grace Moretz,6
319,The Hateful Eight ,Quentin Tarantino,Craig Stark,5
320,Halloween: The Curse of Michael Myers ,Joe Chappelle,Donald Pleasence,12
321,Kung Fu Panda 2 ,Jennifer Yuh Nelson,Angelina Jolie Pitt,2
322,Lilo & Stitch ,Dean DeBlois,Tia Carrere,1
323,Miss March ,Zach Cregger,Hugh M. Hefner,6
324,A Beginner's Guide to Snuff ,Mitchell Altieri,Kimberley Crossman,8
325,Summer of Sam ,Spike Lee,Mira Sorvino,10
326,Snakes on a Plane ,David R. Ellis,Lin Shaye,2
327,Killer Joe ,William Friedkin,Matthew McConaughey,8
328,Soul Survivors ,Stephen Carpenter,Melissa Sagemiller,1
329,Sunday School Musical ,Rachel Goldenberg,Dustin Fitzsimons,9
330,Cry_Wolf ,Jeff Wadlow,Julian Morris,1
331,Domino ,Tony Scott,Ian Ziering,10
332,Happy Feet 2 ,George Miller,Robin Williams,17
335,Pompeii ,Paul W.S. Anderson,Sasha Roiz,2
336,East Is East ,Damien O'Donnell,Archie Panjabi,1
337,Beyond Borders ,Martin Campbell,Angelina Jolie Pitt,4
338,Ramona and Beezus ,Elizabeth Allen Rosenbaum,Sierra McCormick,13
339,Undisputed ,Walter Hill,Fisher Stevens,1
340,Winter Passing ,Adam Rapp,Zooey Deschanel,1
341,The Express ,Gary Fleder,Dennis Quaid,14
342,The Wedding Date ,Clare Kilner,Jack Davenport,6
343,Captain Alatriste: The Spanish Musketeer ,Agustín Díaz Yanes,Viggo Mortensen,8
344,Woodstock ,Michael Wadleigh,Joe Cocker,15
345,21 Jump Street ,Phil Lord,Channing Tatum,6
346,Black November ,Jeta Amata,Akon,1
347,Heroes             ,,Sendhil Ramamurthy,7
348,Underworld: Rise of the Lycans ,Patrick Tatopoulos,Craig Parker,2
349,Shark Tale ,Bibo Bergeron,Robert De Niro,6
350,Diary of a Wimpy Kid: Dog Days ,David Bowers,Zachary Gordon,13
351,They ,Robert Harmon,Alexander Gould,8
352,Hereafter ,Clint Eastwood,Matt Damon,1
353,Poltergeist III ,Gary Sherman,Tom Skerritt,8
354,The Lazarus Effect ,David Gelb,Olivia Wilde,12
