0,use_id,from_user,text,time,user_lang,user_followers_count,retweet_count,user_friends_count,user_location,user_favorites,status_url,entities_str
154,9.88E+17,tomjones1478,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:58:47,en,218,1526,595,China,3092,http://twitter.com/tomjones1478/statuses/987782720611696641,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
155,9.88E+17,MomTheLawyer1,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:58:47,en,414,2898,445,"Los Angeles, CA",5836,http://twitter.com/MomTheLawyer1/statuses/987782720209158146,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
156,9.88E+17,ert02794711,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:58:43,en,237,1659,139,,3358,http://twitter.com/ert02794711/statuses/987782706237984769,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
157,9.88E+17,UnashamedDee,"#Repost @poorpeoplespod with get_repost
_��__
( #linkinbio ) The People vs #starbucks_ https://t.co/td7aJh8BJb",21/04/2018 20:58:36,en,239,1673,489,DMV,3386,http://twitter.com/UnashamedDee/statuses/987782676684902400,"{""hashtags"":[{""text"":""Repost"",""indices"":[0,7]},{""text"":""linkinbio"",""indices"":[46,56]},{""text"":""starbucks"",""indices"":[73,83]}],""symbols"":[],""user_mentions"":[{""screen_name"":""poorpeoplespod"",""name"":""Poor Peoples Podcast"",""id"":4645714036,""id_str"":""4645714036"",""indices"":[8,23]}],""urls"":[{""url"":""https://t.co/td7aJh8BJb"",""expanded_url"":""https://www.instagram.com/p/Bh2FNt7AFiH/"",""display_url"":""instagram.com/p/Bh2FNt7AFiH/"",""indices"":[85,108]}]}"
158,9.88E+17,Sgmcrocket50,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:58:33,en,738,5166,683,"urbandale, iowa",10372,http://twitter.com/Sgmcrocket50/statuses/987782662143336448,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
159,9.88E+17,hymyfromfinland,RT @MarikaNojd: Taas päästiin nauttimaan #starbucks kahvia @TallinkSilja #tallinkmegastar #kahvi https://t.co/YAN1HM8X5a,21/04/2018 20:58:31,fi,5,35,31,"Helsinki, Suomi",110,http://twitter.com/hymyfromfinland/statuses/987782654165741568,"{""hashtags"":[{""text"":""starbucks"",""indices"":[41,51]},{""text"":""tallinkmegastar"",""indices"":[73,89]},{""text"":""kahvi"",""indices"":[90,96]}],""symbols"":[],""user_mentions"":[{""screen_name"":""MarikaNojd"",""name"":""Marika Nöjd"",""id"":2351851987,""id_str"":""2351851987"",""indices"":[3,14]},{""screen_name"":""TallinkSilja"",""name"":""Tallink Silja Oy"",""id"":2572425031,""id_str"":""2572425031"",""indices"":[59,72]}],""urls"":[],""media"":[{""id"":987718059388489700,""id_str"":""987718059388489728"",""indices"":[97,120],""media_url"":""http://pbs.twimg.com/media/DbUUV4QW0AAQSVW.jpg"",""media_url_https"":""https://pbs.twimg.com/media/DbUUV4QW0AAQSVW.jpg"",""url"":""https://t.co/YAN1HM8X5a"",""display_url"":""pic.twitter.com/YAN1HM8X5a"",""expanded_url"":""https://twitter.com/MarikaNojd/status/987718075469455363/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":680,""h"":510,""resize"":""fit""},""medium"":{""w"":1200,""h"":900,""resize"":""fit""},""large"":{""w"":2048,""h"":1536,""resize"":""fit""}},""source_status_id"":987718075469455400,""source_status_id_str"":""987718075469455363"",""source_user_id"":2351851987,""source_user_id_str"":""2351851987""}]}"
160,9.88E+17,scoripowarrior,"RT @larryelder: Philadelphia Police Commish, who is black as was at least one of the cops, said his cops did nothing wrong. Apologized anyway. #Starbucks CEO confirms store policy requires a purchase. Apologized anyway. And media are treating the 2 black #victicrats like they're Rosa Parks.",21/04/2018 20:58:24,en,30,210,49,,460,http://twitter.com/scoripowarrior/statuses/987782624637849600,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
161,9.88E+17,kataisa,"The real victim in the so-called racist #Starbucks incident: the manager who was fired for doing her job. She should sue. #StopFakeHateCrimes #BlackPrivilege #RacialEntitlement 
https://t.co/pqmZknmvjT",21/04/2018 20:58:21,en,1154,8078,1918,the windy city,16196,http://twitter.com/kataisa/statuses/987782611375288320,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[40,50]},{""text"":""StopFakeHateCrimes"",""indices"":[122,141]},{""text"":""BlackPrivilege"",""indices"":[142,157]},{""text"":""RacialEntitlement"",""indices"":[158,176]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/pqmZknmvjT"",""expanded_url"":""https://www.dailywire.com/news/29625/walsh-story-starbucks-entitlement-not-racism-matt-walsh"",""display_url"":""dailywire.com/news/29625/wal_"",""indices"":[178,201]}]}"
162,9.88E+17,Shirleystopirs,"RT @larryelder: Philadelphia Police Commish, who is black as was at least one of the cops, said his cops did nothing wrong. Apologized anyway. #Starbucks CEO confirms store policy requires a purchase. Apologized anyway. And media are treating the 2 black #victicrats like they're Rosa Parks.",21/04/2018 20:58:15,en,10281,71967,10014,United States,143974,http://twitter.com/Shirleystopirs/statuses/987782586335457281,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
163,9.88E+17,HighHumidity,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:57:50,en,76,532,191,"Wichita, KS",1104,http://twitter.com/HighHumidity/statuses/987782483616911360,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
164,9.88E+17,JoeFontenot65,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:57:47,en,495,3465,763,"Sioux City, IA",6970,http://twitter.com/JoeFontenot65/statuses/987782470744625152,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
165,9.88E+17,tleary1,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:57:41,en,74,518,273,,1076,http://twitter.com/tleary1/statuses/987782445838692352,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
166,9.88E+17,Berkie636,"RT @larryelder: The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",21/04/2018 20:57:33,en,245,1715,227,United States,3470,http://twitter.com/Berkie636/statuses/987782411684630528,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[45,55]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
167,9.88E+17,MiguelonLobo,"RT @larryelder: The two black men said they remain upset with #Starbucks because ""rules are rules, but right is right."" So...it's...morally...wrong...to...require...a...buy...before...permitting...a...customer...to...use...their...restroom?!?
Somebody call the ACLU!!!",21/04/2018 20:57:28,en,450,3150,324,USA,6340,http://twitter.com/MiguelonLobo/statuses/987782390109081600,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[62,72]}],""symbols"":[],""user_mentions"":[{""screen_name"":""larryelder"",""name"":""Larry Elder"",""id"":195271137,""id_str"":""195271137"",""indices"":[3,14]}],""urls"":[]}"
168,9.88E+17,gamcoms,"If a private business tells you to leave their premises, you leave. #Starbucks",21/04/2018 20:57:19,en,99,693,107,Bird World,1426,http://twitter.com/gamcoms/statuses/987782352049876992,"{""hashtags"":[{""text"":""Starbucks"",""indices"":[68,78]}],""symbols"":[],""user_mentions"":[],""urls"":[]}"
