Movie_ID,movie_names,gross_value,imdb_ratings,metscores,movie_description,runtime,votes,certificate,certificate_id,year_release,year_id,Genre1,Genre2,Genre3,director_name,Director_id,star1,star2,star3,star4,star5,star6
30,The A-Team,77222099,6.8,47,"A group of Iraq War veterans looks to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.",117 min,226100,PG-13,1,2010,1,Action, Adventure, Comedy            ,Joe Carnahan,30,Joe Carnahan, Liam Neeson, Bradley Cooper, Sharlto Copley,null,null
31,The Other Guys,119219978,6.7,64,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",107 min,208857,PG-13,1,2010,1,Action, Comedy, Crime            ,Adam McKay,31,Adam McKay, Will Ferrell, Mark Wahlberg, Derek Jeter,null,null
32,The Twilight Saga: Eclipse,300531751,5,58,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",124 min,199838,PG-13,1,2010,1,Adventure, Drama, Fantasy            ,David Slade,32,David Slade, Kristen Stewart, Robert Pattinson, Taylor Lautner,null,null
33,Grown Ups,162001186,6,30,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",102 min,198764,PG-13,1,2010,1,Comedy            ,null,null,Dennis Dugan,33,Dennis Dugan, Adam Sandler, Salma Hayek, Kevin James,null,null
34,The Tourist,67631157,6,37,"Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.",103 min,194863,PG-13,1,2010,1,Action, Adventure, Crime            ,Florian Henckel von Donnersmarck,34,Florian Henckel von Donnersmarck, Johnny Depp, Angelina Jolie, Paul Bettany,null,null
35,Megamind,148415853,7.3,63,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",95 min,193047,PG,4,2010,1,Animation, Action, Comedy            ,Tom McGrath,35,Tom McGrath, Will Ferrell, Jonah Hill, Brad Pitt,null,null
36,Predators,52000688,6.4,51,"A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.",107 min,186235,R,2,2010,1,Action, Adventure, Sci-Fi            ,Nimrí__d Antal,36,Nimrí__d Antal, Adrien Brody, Laurence Fishburne, Topher Grace,null,null
37,Machete,26593646,6.6,60,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",105 min,175844,R,2,2010,1,Action, Crime, Thriller            ,Ethan Maniquis,37,Ethan Maniquis, Robert Rodriguez, Danny Trejo, Michelle Rodriguez, Robert De Niro,null
38,Unstoppable,81562942,6.8,69,"With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",98 min,163950,PG-13,1,2010,1,Action, Thriller            ,null,Tony Scott,38,Tony Scott, Denzel Washington, Chris Pine, Rosario Dawson,null,null
39,Knight and Day,76423035,6.3,46,"A young woman gets mixed up with a disgraced spy who is trying to clear his name.",109 min,160790,PG-13,1,2010,1,Action, Adventure, Comedy            ,James Mangold,39,James Mangold, Tom Cruise, Cameron Diaz, Peter Sarsgaard,null,null
40,Blue Valentine,9737892,7.4,81,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",112 min,159564,R,2,2010,1,Drama, Romance            ,null,Derek Cianfrance,40,Derek Cianfrance, Ryan Gosling, Michelle Williams, John Doman,null,null
41,The Next Three Days,21148651,7.4,52,"A married couple's life is turned upside down when the wife is accused of a murder.",133 min,158861,PG-13,1,2010,1,Action, Crime, Drama            ,Paul Haggis,41,Paul Haggis, Russell Crowe, Elizabeth Banks, Liam Neeson,null,null
42,Love & Other Drugs,32367005,6.7,55,"A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.",112 min,158188,R,2,2010,1,Comedy, Drama, Romance            ,Edward Zwick,42,Edward Zwick, Jake Gyllenhaal, Anne Hathaway, Judy Greer,null,null
43,Get Him to the Greek,60974475,6.4,65,"A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.",109 min,156111,R,2,2010,1,Adventure, Comedy, Music            ,Nicholas Stoller,43,Nicholas Stoller, Jonah Hill, Russell Brand, Elisabeth Moss,null,null
44,Percy Jackson & the Olympians: The Lightning Thief,88761720,5.9,47,"A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.",118 min,155868,PG,4,2010,1,Adventure, Family, Fantasy            ,Chris Columbus,44,Chris Columbus, Logan Lerman, Kevin McKidd, Steve Coogan,null,null
45,Shrek Forever After,238371987,6.3,58,"Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.",93 min,154655,PG,4,2010,1,Animation, Adventure, Comedy            ,Mike Mitchell,45,Mike Mitchell, Mike Myers, Cameron Diaz, Eddie Murphy,null,null
46,Hot Tub Time Machine,50287556,6.4,63,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",101 min,147949,R,2,2010,1,Comedy, Sci-Fi            ,null,Steve Pink,46,Steve Pink, John Cusack, Rob Corddry, Craig Robinson,null,null
47,Resident Evil: Afterlife,60128566,5.9,37,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",96 min,146402,R,2,2010,1,Action, Adventure, Horror            ,Paul W.S. Anderson,47,Paul W.S. Anderson, Milla Jovovich, Ali Larter, Wentworth Miller,null,null
48,Tucker and Dale vs Evil,223838,7.6,65,"Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.",89 min,144580,R,2,2010,1,Comedy, Horror            ,null,Eli Craig,48,Eli Craig, Tyler Labine, Alan Tudyk, Katrina Bowden,null,null
49,The Ghost Writer,15541549,7.2,77,"A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.",128 min,142672,PG-13,1,2010,1,Drama, Mystery, Thriller            ,Roman Polanski,49,Roman Polanski, Ewan McGregor, Pierce Brosnan, Olivia Williams,null,null
50,Date Night,98711404,6.3,56,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",88 min,138133,PG-13,1,2010,1,Comedy, Crime, Romance            ,Shawn Levy,50,Shawn Levy, Steve Carell, Tina Fey, Mark Wahlberg,null,null
51,The Sorcerer's Apprentice,63150991,6.1,46,"Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la Fê©e.",109 min,136461,PG,4,2010,1,Action, Adventure, Family            ,Jon Turteltaub,51,Jon Turteltaub, Nicolas Cage, Jay Baruchel, Alfred Molina,null,null
52,The Karate Kid,176591618,6.2,61,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",140 min,136029,PG,4,2010,1,Action, Drama, Family            ,Harald Zwart,52,Harald Zwart, Jackie Chan, Jaden Smith, Taraji P. Henson,null,null
53,Buried,1028658,7,65,"Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.",95 min,131145,R,2,2010,1,Drama, Mystery, Thriller            ,Rodrigo Cortí_Œ©s,53,Rodrigo Cortí_Œ©s, Ryan Reynolds, Josí_Œ© Luis Garcí__a Pí_Œ©rez, Robert Paterson,null,null
54,The Last Airbender,131564731,4.2,20,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",103 min,129880,PG,4,2010,1,Action, Adventure, Family            ,M. Night Shyamalan,54,M. Night Shyamalan, Noah Ringer, Nicola Peltz, Jackson Rathbone,null,null
55,Remember Me,19068240,7.2,40,"A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.",113 min,123709,PG-13,1,2010,1,Drama, Romance            ,null,Allen Coulter,55,Allen Coulter, Robert Pattinson, Emilie de Ravin, Caitlyn Rund,null,null
