id,created_at,tweets,user_id,user_location,retweet_count,Urls,Media,game
208,2018-04-17 19:41:41,"#DanaDurnford .@DrDurnford #BanTokyo2020 #StopTokyo2020

☢3/11/11 *SOS* to Earthlings  https://t.co/JiC7heQXQP

10/… https://t.co/PyeSwmsgIE",3130914869,"Massachusetts, USA",0,"[{'url': 'https://t.co/JiC7heQXQP', 'expanded_url': 'https://www.youtube.com/watch?v=7TMo3rmDMPA', 'display_url': 'youtube.com/watch?v=7TMo3r…', 'indices': [87, 110]}, {'url': 'https://t.co/PyeSwmsgIE', 'expanded_url': 'https://twitter.com/i/web/status/986328867735523331', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Fallout 3
208,2018-04-17 19:41:41,"#DanaDurnford .@DrDurnford #BanTokyo2020 #StopTokyo2020

☢3/11/11 *SOS* to Earthlings  https://t.co/JiC7heQXQP

10/… https://t.co/PyeSwmsgIE",3130914869,"Massachusetts, USA",0,"[{'url': 'https://t.co/JiC7heQXQP', 'expanded_url': 'https://www.youtube.com/watch?v=7TMo3rmDMPA', 'display_url': 'youtube.com/watch?v=7TMo3r…', 'indices': [87, 110]}, {'url': 'https://t.co/PyeSwmsgIE', 'expanded_url': 'https://twitter.com/i/web/status/986328867735523331', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Fallout 3
208,2018-04-17 19:41:41,"#DanaDurnford .@DrDurnford #BanTokyo2020 #StopTokyo2020

☢3/11/11 *SOS* to Earthlings  https://t.co/JiC7heQXQP

10/… https://t.co/PyeSwmsgIE",3130914869,"Massachusetts, USA",0,"[{'url': 'https://t.co/JiC7heQXQP', 'expanded_url': 'https://www.youtube.com/watch?v=7TMo3rmDMPA', 'display_url': 'youtube.com/watch?v=7TMo3r…', 'indices': [87, 110]}, {'url': 'https://t.co/PyeSwmsgIE', 'expanded_url': 'https://twitter.com/i/web/status/986328867735523331', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Fallout 3
209,2018-04-17 14:54:45,All this talk about world war 3 actually being a thing... Whose laughing at my bottle cap collection now!!!! #Prepared #Fallout,78364328,"Bridgend, Wales",0,[],,Fallout 3
209,2018-04-17 14:54:45,All this talk about world war 3 actually being a thing... Whose laughing at my bottle cap collection now!!!! #Prepared #Fallout,78364328,"Bridgend, Wales",0,[],,Fallout 3
210,2018-04-17 10:38:24,"RT @jollyroger_f3: 25 came for the mumblechatter but stayed for the #seabiscuit at #fallout
Many for #thestandard 3 for the #doublestandard…",819624568604282880,"Lake Norman, NC",1,[],,Fallout 3
210,2018-04-17 10:38:24,"RT @jollyroger_f3: 25 came for the mumblechatter but stayed for the #seabiscuit at #fallout
Many for #thestandard 3 for the #doublestandard…",819624568604282880,"Lake Norman, NC",1,[],,Fallout 3
210,2018-04-17 10:38:24,"RT @jollyroger_f3: 25 came for the mumblechatter but stayed for the #seabiscuit at #fallout
Many for #thestandard 3 for the #doublestandard…",819624568604282880,"Lake Norman, NC",1,[],,Fallout 3
210,2018-04-17 10:38:24,"RT @jollyroger_f3: 25 came for the mumblechatter but stayed for the #seabiscuit at #fallout
Many for #thestandard 3 for the #doublestandard…",819624568604282880,"Lake Norman, NC",1,[],,Fallout 3
211,2018-04-17 10:28:09,"25 came for the mumblechatter but stayed for the #seabiscuit at #fallout
Many for #thestandard 3 for the… https://t.co/Me6HPjMZot",1629303654,"Lake Norman, NC",1,"[{'url': 'https://t.co/Me6HPjMZot', 'expanded_url': 'https://twitter.com/i/web/status/986189565957496832', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [106, 129]}]",,Fallout 3
211,2018-04-17 10:28:09,"25 came for the mumblechatter but stayed for the #seabiscuit at #fallout
Many for #thestandard 3 for the… https://t.co/Me6HPjMZot",1629303654,"Lake Norman, NC",1,"[{'url': 'https://t.co/Me6HPjMZot', 'expanded_url': 'https://twitter.com/i/web/status/986189565957496832', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [106, 129]}]",,Fallout 3
211,2018-04-17 10:28:09,"25 came for the mumblechatter but stayed for the #seabiscuit at #fallout
Many for #thestandard 3 for the… https://t.co/Me6HPjMZot",1629303654,"Lake Norman, NC",1,"[{'url': 'https://t.co/Me6HPjMZot', 'expanded_url': 'https://twitter.com/i/web/status/986189565957496832', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [106, 129]}]",,Fallout 3
212,2018-04-16 17:33:08,"RT @CyberSnark: Machine Learning Day 3:
Just kidding! I’m in Nuka World, cozying up to the Operators!! 👩🏻‍🎤 #vacation #fallout",918643045,alb,1,[],,Fallout 3
212,2018-04-16 17:33:08,"RT @CyberSnark: Machine Learning Day 3:
Just kidding! I’m in Nuka World, cozying up to the Operators!! 👩🏻‍🎤 #vacation #fallout",918643045,alb,1,[],,Fallout 3
213,2018-04-16 16:53:40,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",91243392,México,12,[],,Fallout 3
213,2018-04-16 16:53:40,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",91243392,México,12,[],,Fallout 3
214,2018-04-16 14:45:46,"Aaaand somebody already adopted Fawkes! Awesome! 🙌🏻

My listing is still going guys :3 #Fallout #lootcrate",21496396,"West Grimstead, Salisbury, UK",0,[],,Fallout 3
214,2018-04-16 14:45:46,"Aaaand somebody already adopted Fawkes! Awesome! 🙌🏻

My listing is still going guys :3 #Fallout #lootcrate",21496396,"West Grimstead, Salisbury, UK",0,[],,Fallout 3
