ID,Artist,User_ID,User_Name,Text,Created_Time,Favorites,Retweets,Followers,Friends,Location,Tags
628,Black Sabbath,User_ID: 2331415592,User_Name: NIB,Text: #NowPlaying▶️“Rat Salad“ from「Paranoid」/#BlackSabbath サバス版Moby Dick！ 素人なんで技術的に上手い下手は分からんがビルはヤッパリ、クール👍 それではみなさん、お休みな… https://t.co/bkkPfWDH68,4/2/2018 14:43,14,2,1804,Friends: 1779,Location: ,Tags: #NowPlaying▶️“Rat
629,Black Sabbath,User_ID: 737717155505000448,User_Name: Rock Artefacts,Text: Vintage 1980 Black Sabbath Geezer Butler Guitar Pick https://t.co/QRcMkNgbW9 #BlackSabbath https://t.co/1aIUb82ETv,4/2/2018 14:42,0,0,217,Friends: 252,Location: Worldwide,"Tags:$1,980 #BlackSabbath"
630,Black Sabbath,User_ID: 828924955547021312,User_Name: lostallfeeling,Text: Excellent find today 😁😁 #BlackSabbath #vinyl #record #ozzy #ozzyosbourne #BestFindSoFar https://t.co/tC2No4rhby,4/2/2018 13:16,0,0,20,Friends: 159,"Location: Manchester, England",Tags: #BlackSabbath #vinyl #record #ozzy #ozzyosbourne #BestFindSoFar
631,Black Sabbath,User_ID: 98808014,User_Name: メタルTシャツMETALISFOREVE,Text: ネイビー＆レッドのラグランがかっこいい！BLACK SABBATH -ブラック・サバス- 1978年 US ツアー レディースラグランＴシャツ （ネイビー＆レッド） Mサイズが入荷いたしました！ #BLACKSABBATH… https://t.co/IzWasnqhXe,4/2/2018 12:26,0,0,1786,Friends: 2023,Location: 富山県高岡市,Tags: #BLACKSABBATH…
632,Black Sabbath,User_ID: 769916140546035712,User_Name: Raglanboy,Text: Bank holiday choons : #blacksabbath technical ecstasy #vinyl #vinylcollection #instavinyl… https://t.co/E6DytXX0Cx,4/2/2018 12:02,0,1,141,Friends: 441,"Location: Wales, United Kingdom",Tags: #blacksabbath #vinyl #vinylcollection #instavinyl…
633,Black Sabbath,User_ID: 969400645290639360,User_Name: Strange Rains,Text: #OzzyOsbourne #Bandshirt - Sz (Ladies Med) #CanadianFlag #BlackSabbath #Canada #HeavyMetal #CrazyTrain https://t.co/oLWVBBK6jo,4/2/2018 10:23,0,1,52,Friends: 126,"Location: Edmonton, Alberta",Tags: #OzzyOsbourne #Bandshirt #CanadianFlag #BlackSabbath #Canada #HeavyMetal #CrazyTrain
634,Black Sabbath,User_ID: 22138994,User_Name: Abhishek Srivastava,"Text: RT @thatparabitch: The world is full of kings and queens, who blind your eyes and steal your dreams. #BlackSabbath",4/2/2018 9:36,0,1,459,Friends: 100,Location: ,Tags: #BlackSabbath
635,Black Sabbath,User_ID: 39069847,User_Name: Blaq Doc M.D. DDS,Text: RT @EntheosShines: Ex-Member of Metal Band #BlackSabbath's story of accepting Jesus as his Savior #AllThingsArePossible (Romans 10:9) http:…,4/2/2018 5:36,0,55,2704,Friends: 4188,Location: ,Tags: #BlackSabbath's #AllThingsArePossible
636,Black Sabbath,User_ID: 2415901634,User_Name: Alex Gramm,Text: RT @RockOtherWorlds: The immutable virtuoso guitarist of the band Black Sabbath - Tommy Iommi at a very young age. Беззмінний віртуоз-гітар…,4/2/2018 5:35,0,1,548,Friends: 491,Location: ,Tags:
637,Black Sabbath,User_ID: 973461690129043456,User_Name: S.,Text: #NowPlaying Iron Man #BlackSabbath,4/2/2018 5:27,1,0,84,Friends: 83,Location: in my own world. ,Tags: #NowPlaying #BlackSabbath
