"43","989373774863716352","_Visca_Barca_","26/4/2018 05:21:04","16822","RT @iAmVonteee: Clingers for the boys! #Fortnite #PS4share

https://t.co/rpJvGsXVtD https://t.co/xYj0YhFpIt","3912"
"44","989373787731824640","VorTex9_","26/4/2018 05:21:07","18285","RT @Fortnite_BR: This guy was trolling in 50v50 and got what he deserved. #Fortnite

Credit : StealthNinja_X https://t.co/CyfRwdAMb9","4252"
"45","989373789883559937","atticaatv","26/4/2018 05:21:07","377","JUST NOW GOING LIVE GUYS! We’re back. Come hangout with the late nite stream #Fortnite #YoutubeGaming https://t.co/ZYUsuiGi5Y","88"
"46","989373805410836480","aliihsan01100","26/4/2018 05:21:11","7","RT @TabouleOccident: [#CONCOURS #FORTNITE ] ","2"
"47","989373812931289088","MoritzBlue","26/4/2018 05:21:13","8","RT @og_yelloww: My first fortnite painting ","2"
"48","989373815053402113","yucchaman_game","26/4/2018 05:21:13","15783","RT @fortnitematome: くっつき爆弾炸裂！二人仲良くあの世に行きな","3670"
"49","989373819671535618","kvidenn","26/4/2018 05:21:14","555","Let’s see with the future holds now on a competitive team! Glad to be apart of the team #Goonnation https://t.co/sAuAjFR0qJ","129"
"50","989373873543155712","kvidenn","26/4/2018 05:21:27","555","RT @GOONNationUSA: We would like to welcome our first ever #FortNite Roster!

@dfletch2015 
@tdslimit 
@HeixGaming 
@kvidenn 

We have grea…","129"
"51","989373891100467200","MarcFlippertoe","26/4/2018 05:21:31","392","RT @Mandy_Mulisha: Live On Twitch - Watch me at https://t.co/LLk7hFoxFA #Fortnite #GamePlay #Squad #BattleRoyale #VictoryRoyale #TeamFrenzy…","91"
"52","989373921513426945","BoostStreamer","26/4/2018 05:21:39","41","RT @das_yacob: Live playing #Fortnite! Come hang out :) https://t.co/BcR8OK9UHf     
@TwitchTVGaming 
@DNRCREWx 
@WeRTFortnite 
@Demented_R…","10"
"53","989373950743498752","HockaChotta","26/4/2018 05:21:46","1362","RT @FortniteXL: INSANE #FORTNITE 6000 V-BUCKS GIVEAWAY!

All you have to do is:

• Retweet
• Follow us

Comment ''DONE'' to win! Good luck!…","317"
"54","989373978090393602","hypnoTD","26/4/2018 05:21:52","112","RT @DEXB0T: ","26"
"55","989373984088223744","NikitaEhrlich","26/4/2018 05:21:54","33","RT @FortniteBTR: Dark Vanguard &amp; Deep Space Lander Giveaway!

Just Retweet This &amp; Follow Me + @InnovateGG To Win✅

Winner Soon","8"
"56","989374006586294273","natthebat11","26/4/2018 05:21:59","1279","RT @LiamConnelly77: Like and retweet for a save the world code, got 2 left #fortnite #savetheworld","297"
"57","989374016136736773","RRodAlmighty","26/4/2018 05:22:01","6417","We live. #fortnite 

https://t.co/vgiMsqW5CE","1492"
"58","989374018695389184","useeuknow","26/4/2018 05:22:02","470","237m crossbow kill!!!!
#fortnite #fortnitecrossbow","109"
"59","989374031987167232","chavoSndvl","26/4/2018 05:22:05","1403","RT @rhettmc: How many times do I have to die in #Fortnite before I’m actually dead inside?","326"
"60","989374041357242369","franky_spanky87","26/4/2018 05:22:07","1569","RT @franky_spanky87: THanks #FORTNITE!!! Giving me freebies! I ","365"
"61","989374048152047616","thibaul99733070","26/4/2018 05:22:09","1161","RT @ShawnKTheKing: ","270"
"62","989374054380593152","austra96","26/4/2018 05:22:10","142","RT @Bennnzz: CONCOURS ","33"
"63","989374069614301190","will54118879","26/4/2018 05:22:14","1210","RT @FortniteBR: Fortnite Battle Royale Cosmetics for April 26th, 2018 #Fortnite https://t.co/2iU2BOjSWj","281"
"64","989374076366934016","FNG_BLUE23","26/4/2018 05:22:16","6920","RT @FortniteXL: INSANE #FORTNITE 6000 V-BUCKS GIVEAWAY!

All you have to do is:

• Retweet
• Follow us

Comment ''DONE'' to win! Good luck!…","1609"
"65","989374081815359488","matchawapple2","26/4/2018 05:22:17","83","Playing some fortnite on ps4 tonight! Come join the fun and games! #twitch #ps4 #twitchps4 #fortnite #fortniteps4","19"
"66","989374086588624896","rudipitt","26/4/2018 05:22:18","2605","RT @DeadarticGames: Fortnite Battle Royale - 50v50 Announce Trailer
https://t.co/Tg4MG00VWB #Fortnite #50v50 #Ps4Pro #Ps4 #XboxOneX #XboxOn…","606"
"67","989374091156164608","UsualStudio","26/4/2018 05:22:19","172","RT @OwlySix: Et c'est @HyZerGaming  qui remporte sa place pour la lan #GiveAWay à Paris le 28 Avril !!! Envoie nous un petit dm pour qu'on…","40"
"68","989374102610808833","will54118879","26/4/2018 05:22:22","1211","RT @Fortnite_BR: This guy was trolling in 50v50 and got what he deserved. #Fortnite

Credit : StealthNinja_X https://t.co/CyfRwdAMb9","282"
"69","989374112777883649","HubixPlay","26/4/2018 05:22:24","471","RT @Fortnite_BR: This guy was trolling in 50v50 and got what he deserved. #Fortnite

Credit : StealthNinja_X https://t.co/CyfRwdAMb9","110"
"70","989374133904420865","Errel87","26/4/2018 05:22:29","1184","RT @xXPsYkO17Xx: Je suis un gamin ","275"
"71","989374144990011392","MrAlazae1","26/4/2018 05:22:32","188","RT @DEXB0T: ","44"
