ID,name,full_name,club,club_logo
189125,G. Bonaventura,Giacomo Bonaventura,Milan,https://cdn.sofifa.org/18/teams/47.png
189068,B. Dost,Bas Dost,Sporting CP,https://cdn.sofifa.org/18/teams/237.png
188377,K. Walker,Kyle Walker,Manchester City,https://cdn.sofifa.org/18/teams/10.png
188152,Oscar,Oscar dos Santos Emboaba,,
187936,S. N'Zonzi,Steven N'Zonzi,Sevilla FC,https://cdn.sofifa.org/18/teams/481.png
186547,M. Musacchio,Mateo Musacchio,Milan,https://cdn.sofifa.org/18/teams/47.png
185239,O. Toprak,mer Toprak,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
185020,Jos茅 Callej贸n,Jos茅 Mar铆a Callej贸n Bueno,Napoli,https://cdn.sofifa.org/18/teams/48.png
184826,Adrien Silva,Adrien S. Perruchet Silva,,
184431,S. Giovinco,Sebastian Giovinco,Toronto FC,https://cdn.sofifa.org/18/teams/111651.png
184144,N. Gait谩n,Nicol谩s Gait谩n,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
181783,M. Mand啪uki,Mario Mand啪uki,Juventus,https://cdn.sofifa.org/18/teams/45.png
180819,A. Lallana,Adam Lallana,Liverpool,https://cdn.sofifa.org/18/teams/9.png
179784,B. H枚wedes,Benedikt H枚wedes,Juventus,https://cdn.sofifa.org/18/teams/45.png
178562,E. Banega,ver Banega,Sevilla FC,https://cdn.sofifa.org/18/teams/481.png
178005,Rui Patr铆cio,Rui Pedro dos Santos Patr铆cio,Sporting CP,https://cdn.sofifa.org/18/teams/237.png
177683,Y. Sommer,Yann Sommer,Borussia M枚nchengladbach,https://cdn.sofifa.org/18/teams/23.png
177388,D. Payet,Dimitri Payet,Olympique de Marseille,https://cdn.sofifa.org/18/teams/219.png
177358,M. Schneiderlin,Morgan Schneiderlin,Everton,https://cdn.sofifa.org/18/teams/7.png
176769,Jonas,Jonas Gon莽alves Oliveira,SL Benfica,https://cdn.sofifa.org/18/teams/234.png
