Book_id,Title,Author,Author_id
1129,"Bill Phillips Body For Life Two-Book Set (Body For Life, Body for Life Success Journal)",Bill Phillips,731
1130,The Warren Buffett Way,Robert G. Hagstrom,739
1131,The Warren Buffett Portfolio: Mastering the Power of the Focus Investment Strategy,Robert G. Hagstrom,739
1132,Buffettology: The Previously Unexplained Techniques That Have Made Warren Buffett the World's Most Famous Investor,Mary Buffett,738
1133,Trade Like Warren Buffett,James Altucher,740
1134,Warren Buffett Speaks: Wit and Wisdom from the World's Greatest Investor,Janet Lowe,741
1135,How to Think Like Benjamin Graham and Invest Like Warren Buffett,Lawrence A. Cunningham,742
1136,J. K. Lasser's Pick Stocks Like Warren Buffett,Warren Boroson,743
1137,Warren Buffett Wealth: Principles and Practical Methods Used by the World's Greatest Investor,Robert P. Miles,744
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles,744
1139,"The Real Warren Buffett: Managing Capital, Leading People",James O'Loughlin,745
1140,Of Permanent Value: The Story of Warren Buffett,Andrew Kilpatrick,747
1141,Warren Buffett:: Master of the Market,Jay Steele,748
1142,The Winning Investment Habits of Warren Buffett & George Soros,Mark Tier,749
1143,Warren Buffett: The Good Guy of Wall Street,Andrew Kilpatrick,747
1144,Warren Buffett: An Illustrated Biography of the World's Most Successful Investor,Ayano Morio,752
1145,A Weekend with Warren Buffett: And Other Shareholder Meeting Adventures,Randy Cepuch,754
1146,Warren Buffett Speaks: Wit and Wisdom of the World's Greatest Investor,Janet Lowe,741
1147,"Of Permanent Value: The Story of Warren Buffett, 1998 Edition",Andrew Kilpatrick,747
1148,Los Ensayos De Warren Buffett,Warren Buffett,756
1149,Die Essays Von Warren Buffett,Warren Buffett,756
1150,The Buffettology Workbook: Value Investing The Warren Buffett Way,Mary Buffett,738
1151,Warren Buffett (Business Masterminds),Robert Heller,759
1152,Warren Buffett,Robert G. Hagstrom,739
1153,The Midas Touch: The Strategies That Have Made Warren Buffett America's Pre-Eminent Investor,John Train,761
1154,101 Reasons to Own the World's Greatest Investment: Warren Buffett's Berkshire Hathaway,Robert P. Miles,744
1155,Buffett: The Making of an American Capitalist,Roger Lowenstein,762
1156,Of Permanent Value: The Story of Warren Buffet,Andrew Kilpatrick,747
1157,"Of Permanent Value: The Story of Warren Buffett, Updated and Expanded Edition",Andrew Kilpatrick,747
1158,Investimentos: Os Segredos De George Soros E Warren Buffett,Mark Tier,749
1159,"Of Permanent Value: The Story of Warren Buffett/More in '04, California Edition",Andrew Kilpatrick,747
1160,Damn Right!: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger,Janet Lowe,741
1161,Of Permanent Value : The Story of Warren Buffett/Monster Millennium Edition,Andrew Kilpatrick,747
1162,Monkey Business: Swinging Through the Wall Street Jungle,John Rolfe,764
1163,Monkey Business,Wallace Edwards,765
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky,899563
1165,"Mice, Morals, & Monkey Business",Christopher Wormell,767
1166,"Hank the Cowdog and Monkey Business (Hank the Cowdog, #14)",John R. Erickson,768
