,First,Movies,STATUS,Second,Tags
460576,Activities,Annabelle: Creation,SIMILAR,Help,Help
460721,Activities,A Ghost Story,SIMILAR,Games,Games
460725,Activities,A Long Way Down,SIMILAR,Market,Market
460804,Activities,Annabelle: Creation,SIMILAR,Creation,Creation
460885,Activities,Anonymous,SIMILAR,Game,Game
461486,Activities,All Eyez on Me,SIMILAR,Music,Music
461516,Activities,Angry Birds,SIMILAR,Last,Last
461617,Activities,A Most Violent Year,SIMILAR,Playing,Playing
461632,Activities,Admission,SIMILAR,Fun,Fun
472062,Figure,Alice in Wonderland,SIMILAR,Illustration,Illustration
473545,Iron,Battle Los Angeles,SIMILAR,Metal,Metal
475163,Marvel,Alice in Wonderland,SIMILAR,Wonder,Wonder
482990,Saint,99 Homes,SIMILAR,Andrew,Andrew
483045,Saint,A Walk Among the Tombstones,SIMILAR,David,David
483268,Saint,13,SIMILAR,Santa,Santa
484091,Saint,Allied,SIMILAR,John,John
488987,Miss,Abduction,SIMILAR,Girls,Girls
488988,Miss,Abduction,SIMILAR,Girl,Girl
497166,Billys,A Walk in the Woods,SIMILAR,Billy,Billy
498395,Billys,Battle Los Angeles,SIMILAR,Club,Club
507034,Explained,A Most Wanted Man,SIMILAR,Explain,Explain
514310,Santa,Bad Words,SIMILAR,Saint,Saint
518690,Panther,Animal Kingdom,SIMILAR,Lion,Lion
530067,Is,American Sniper,SIMILAR,Been,Been
530451,Is,Allied,SIMILAR,Are,Are
533747,Films,12 Years a Slave,SIMILAR,Movies,Movies
533825,Films,A Bad Moms Christmas,SIMILAR,Movie,Movie
534119,Films,42,SIMILAR,Musical,Musical
534318,Films,Bad Grandpa,SIMILAR,Film,Film
535112,Films,12 Years a Slave,SIMILAR,Shows,Shows
540807,Musical,12 Years a Slave,SIMILAR,Movies,Movies
540885,Musical,A Bad Moms Christmas,SIMILAR,Movie,Movie
541174,Musical,21 Jump Street,SIMILAR,Films,Films
541378,Musical,Bad Grandpa,SIMILAR,Film,Film
545427,Mas,A Bad Moms Christmas,SIMILAR,Moms,Moms
545523,Mas,Annabelle,SIMILAR,Mummy,Mummy
549741,Canada,American Made,SIMILAR,America,America
555220,Garfield,Arthur,SIMILAR,Arthur,Arthur
555807,Garfield,A Bigger Splash,SIMILAR,Johnson,Johnson
556205,Garfield,A Bigger Splash,SIMILAR,Johnson,Johnson
558126,Moms,42,SIMILAR,Mas,Mas
558231,Moms,Annabelle,SIMILAR,Mummy,Mummy
574720,Or,20th Century Women,SIMILAR,Me,Me
574734,Or,42,SIMILAR,De,De
574853,Or,Admission,SIMILAR,Jersey,Jersey
574995,Or,Assassin's Creed,SIMILAR,Texas,Texas
575314,Or,42,SIMILAR,Hi,Hi
