Book_id,Title,Author,Rating,Publish_time,Rating_count
932,Memoirs of a Geisha: A Portrait of the Film,David        James,4.09,2005,137
933,Memoirs of a Geisha,Arthur Golden,4.09,1998,3512
935,Geisha of Gion,Mineko Iwasaki,3.92,,1214
936,Memoirs Of A Geisha,Arthur Golden,4.09,2006,21
937,Memoirs of a Geisha,Arthur Golden,4.09,2006,1769
938,How to Make Anyone Fall in Love with You,Leil Lowndes,3.61,1997,846
939,How To Get Laid: The Rules On How To Succeed With Women And How To Make Anyone Fall In Love With You,Michael James,3.00,2000,2
940,Self-Help Pak: Love Tactics/How to Make Anyone Fall in Love with You,Thomas McKnight,0.00,,0
941,Love As A Foreign Language #5,J. Torres,3.71,2006,7
942,Los 5 Lenguajes Del Amor De Los Ninos / The Five Languages Of Love For Children,Gary Chapman,4.21,,24
943,Marriage Special Package- 2 books- Five Love Languages/Fight Fair,Gary Chapman,4.30,2003,40
944,Jungle Love,Margaret Johnson,3.33,2002,53
946,Jungle Love,Margaret Johnson,3.33,,0
947,First Impressions,Nora Roberts,3.73,,29
948,Building Literacy with Love: A Guide for Teachers and Caregivers of Children Birth Through Age 5,betty S. Bardige,3.46,2004,13
949,One World?,Catherine Allan,0.00,,0
951,The Five Love Languages: Men's Edition: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.24,2004,793
952,The Five Love Languages of Children,Gary Chapman,4.21,1997,10382
953,"Cinco Lenguajes del Amor Para Solteros, Los: Five Love Languages for Singles",Gary Chapman,4.18,2006,12
954,The Five Love Languages of Teenagers,Gary Chapman,4.11,2001,110
955,The Five Love Languages Faux Leather Bound Journal and Paperback Book Set (Amazon.com Exclusive),Gary Chapman,4.62,2005,16
956,The Five Love Languages: Men's Edition: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.24,2005,49
957,Five Love Languages Journal: How To Express Heartfelt Commitment To Your Mate,Gary Chapman,4.23,2005,4
958,The Five Love Languages,Gary Chapman,4.23,,11
959,Los Cinco Lenguajes Del Amor/the Five Languages of Love,Gary Chapman,4.23,2004,10
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.87,2006,2118361
961,Angels and Demons: What Do We Really Know About Them?,Peter Kreeft,4.09,1995,287
962,"Angels, Demons & Gods of the New Millenium: Musings on Modern Magick",Lon Milo DuQuette,4.06,1997,145
963,Angels and Demons in Art,Rosa Giorgi,4.12,2005,72
964,Secrets of Angels and Demons,Dan Burstein,3.41,2006,4
965,"Ángeles y demonios (Robert Langdon, #1)",Dan Brown,3.87,2005,192
966,Angeles & Demonios,Dan Brown,3.87,2005,67
967,"Angel Customers & Demon Customers: Discover Which is Which, and Turbo-Charge Your Stock",Larry Selden,3.36,2003,20
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.80,2006,1501488
969,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.80,2006,1089
970,Fodor's Guide to The Da Vinci Code: On the Trail of the Bestselling Novel,Jennifer Paull,3.57,2006,37
971,The Truth Behind the Da Vinci Code: A Challenging Response to the Bestselling Novel,Richard Abanes,3.26,,70
972,"Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.80,2005,311
973,"Who Can Crack the Leonardo Da Vinci Code? (Museum of Adventures, #1)",Thomas Brezina,3.57,2005,25
974,The Da Vinci Code: Fact or Fiction?,Hank Hanegraaff,3.67,2004,143
975,Deception Point,Dan Brown,3.68,2006,4770
976,Deception Point,Dan Brown,3.68,2002,479292
977,Deception Point,Dan Brown,3.68,2002,2971
978,"Point Deception (Cape Perdido, #1)",Marcia Muller,3.69,2002,611
979,Deception Point,Dan Brown,3.68,2004,120
